6.11	-6.29
7.03	6.01
7.75	-3.89
-3.33	-7.39
-0.21	0.31
-6.49	-6.99
-8.07	1.61
6.35	3.01
2.57	8.61
-2.71	-7.89
6.41	-4.79
4.93	9.91
-0.65	1.31
4.47	-3.19
3.49	-9.19
-6.09	3.21
-3.47	7.01
5.55	1.01
6.47	-6.09
3.49	3.91
-1.19	5.03
-6.17	-5.77
1.45	-6.97
4.87	-6.37
3.59	8.73
1.41	7.93
-8.77	-2.87
2.45	-3.87
4.97	-3.37
-6.11	-3.47
4.11	9.13
3.13	5.73
6.65	-2.77
1.47	-7.37
-1.21	-4.87
-4.69	5.43
5.53	1.43
4.05	-2.67
-1.73	-8.47
2.79	1.23
3.01	7.05
-6.07	-1.45
8.35	-9.85
2.77	-4.25
1.09	-7.55
-9.49	4.05
3.53	7.05
-1.65	-2.15
-6.03	-6.55
-7.21	0.45
-3.89	8.55
-0.47	4.15
3.05	9.65
-1.73	-8.15
2.59	-0.85
1.11	-5.55
2.43	2.35
-5.45	-6.95
6.77	7.45
-6.11	3.55
-0.39	1.67
9.43	5.47
-0.45	-7.83
0.87	-3.73
-3.21	1.57
9.81	-0.43
-2.47	5.07
-6.95	8.77
5.57	-4.93
8.09	-2.23
-2.89	5.57
6.23	8.27
2.15	-9.03
1.97	-7.63
7.79	9.37
-6.59	-7.63
4.43	-0.43
2.35	-2.73
-6.93	0.17
-9.31	-8.03
-5.89	-1.41
-5.27	-5.01
-2.85	4.19
-7.03	-3.21
4.69	-4.91
-8.69	-2.91
6.43	-0.61
-7.75	-2.41
-2.93	-9.41
8.79	-4.31
-4.89	0.39
-0.07	-3.21
-3.25	-9.21
7.17	-1.81
-6.81	8.39
0.21	-3.41
-4.17	0.39
-9.85	7.29
1.67	-7.61
1.29	7.99
-7.99	1.71
-5.57	-3.29
-7.55	7.91
1.07	4.51
-6.71	6.51
1.91	-8.89
3.13	-2.89
-7.05	-3.49
5.77	-7.89
4.89	1.01
-2.59	6.71
6.63	-9.69
-6.65	-3.59
-2.13	-5.29
-1.71	4.31
-4.29	1.51
3.83	-1.99
4.35	8.91
-4.83	9.71
5.49	-0.79
9.61	-5.47
-4.37	-3.67
8.05	-1.07
8.27	5.93
-6.51	3.73
5.71	1.73
-8.27	-4.07
-2.45	-3.87
3.57	-6.47
-7.91	1.43
-3.49	-5.37
0.83	-9.87
-1.95	3.93
2.47	-3.67
-8.71	-0.47
-1.09	-0.27
6.23	8.23
-6.45	2.93
5.57	6.13
6.59	-3.87
1.41	3.75
-3.77	-2.85
-9.85	3.65
-6.03	-1.35
-5.11	-8.05
-0.99	4.45
8.73	4.95
3.95	-6.85
-6.03	-7.05
3.29	-6.35
-7.89	-6.55
-0.17	-4.85
-6.95	-1.45
1.97	-2.95
7.39	-1.75
-3.69	6.35
4.23	7.05
-2.85	2.55
8.87	-3.35
-2.11	-3.35
-1.09	-0.93
6.83	-0.63
-4.55	2.77
-2.33	-9.63
5.89	-4.43
-5.39	-7.93
-7.57	-0.73
2.75	0.37
6.57	-0.83
3.39	3.57
-2.59	8.37
8.63	-6.03
-3.95	1.97
-3.83	-0.33
-9.51	4.17
-1.09	9.97
0.93	8.57
-4.05	0.37
0.97	-0.83
9.89	7.87
0.81	-4.01
8.53	-7.71
-7.15	2.79
7.97	1.89
